Rank,Athlete,Nationality,Time,Minutes
1,Samuel Kamau Wanjiru,Kenya,2:06:32,126.53
2,Jaouad Gharib,Morocco,2:07:16,127.27
3,Tsegay Kebede,Ethiopia,2:10:00,130
4,Deriba Merga,Ethiopia,2:10:21,130.35
5,Martin Lel,Kenya,2:10:24,130.4
6,Viktor Rothlin,Switzerland,2:10:35,130.58
7,Gashaw Asfaw,Ethiopia,2:10:52,130.87
8,Yared Asmerom,Eritrea,2:11:11,131.18
9,Dathan Ritzenhein,United States,2:11:59,131.98
10,Ryan Hall,United States,2:12:33,132.55
11,Mike Fokoroni,Zimbabwe,2:13:17,133.28
12,Stefano Baldini,Italy,2:13:25,133.42
13,Tsuyoshi Ogata,Japan,2:13:26,133.43
14,Grigoriy Andreyev,Russia,2:13:33,133.55
15,Ruggero Pertile,Italy,2:13:39,133.65
16,Jose Manuel Martinez,Spain,2:14:00,134
17,Francis Kirwa,Finland,2:14:22,134.37
18,Lee Myong-Seung,South Korea,2:14:37,134.62
19,Janne Holmen,Finland,2:14:44,134.73
20,Abderrahim Goumri,Morocco,2:15:00,135
21,Aleksey Sokolov,Russia,2:15:57,135.95
22,Brian Sell,United States,2:16:07,136.12
23,Ottaviano Andriani,Italy,2:16:10,136.17
24,Dan Robinson,Great Britain,2:16:14,136.23
25,Deng Haiyang,China,2:16:17,136.28
26,Abderrahime Bouramdane,Morocco,2:17:42,137.7
27,Vasyl Matviychuk,Ukraine,2:17:50,137.83
28,Lee Bong-Ju,South Korea,2:17:56,137.93
29,Oleg Kulkov,Russia,2:18:11,138.18
30,Paulo Gomes,Portugal,2:18:15,138.25
31,Alex Malinga,Uganda,2:18:26,138.43
32,Carlos Cordero,Mexico,2:18:40,138.67
33,Kum-Song Ri,North Korea,2:19:08,139.13
34,Henryk Szost,Poland,2:19:43,139.72
35,Jose Amado Garcia,Guatemala,2:20:15,140.25
36,Yonas Kifle,Eritrea,2:20:23,140.38
37,Nasar Sakar Saeed,Bahrain,2:20:24,140.4
38,Jose de Souza,Brazil,2:20:25,140.42
39,Kamiel Maase,Netherlands,2:20:30,140.5
40,Song-Chol Pak,North Korea,2:21:16,141.27
41,Iaroslav Musinschi,Moldova,2:21:18,141.3
42,Il-Nam Kim,North Korea,2:21:51,141.85
43,Juan Carlos Cardona,Colombia,2:21:57,141.95
44,Hendrick Ramaala,South Africa,2:22:43,142.72
45,Arjun Kumar Basnet,Nepal,2:23:09,143.15
46,Helder Ornelas,Portugal,2:23:20,143.33
47,Procopio Franco,Mexico,2:23:24,143.4
48,Nelson Cruz,Cape Verde,2:23:47,143.78
49,Roberto Echeverria,Chile,2:23:54,143.9
50,Kim Yi-Yong,South Korea,2:23:57,143.95
51,Li Zhuhong,China,2:24:08,144.13
52,Bat-Ochiryn Ser-Od,Mongolia,2:24:19,144.32
53,Norman Dlomo,South Africa,2:24:28,144.47
54,Arkadiusz Sowa,Poland,2:24:48,144.8
55,Samson Ramadhani,Tanzania,2:25:03,145.05
56,Ndabili Bashingili,Botswana,2:25:11,145.18
57,Simon Munyutu,France,2:25:50,145.83
58,Antoni Bernado,Andorra,2:26:29,146.48
59,Wu Wen-Chien,Chinese Taipei,2:26:55,146.92
60,Lee Troop,Australia,2:27:17,147.28
61,Costantino Leon,Peru,2:28:04,148.07
62,Goran Stojiljkovic,Montenegro,2:28:14,148.23
63,Alfredo Arevalo,Guatemala,2:28:26,148.43
64,Yousf Othman Qader,Qatar,2:28:40,148.67
65,Franklin Tenorio,Ecuador,2:29:05,149.08
66,Francisco Bautista,Mexico,2:29:28,149.47
67,Roman Kejzar,Slovenia,2:29:37,149.62
68,Joachim Nshimirimana,Burundi,2:29:55,149.92
69,Seteng Ayele,Israel,2:30:07,150.12
70,Takhir Mamashayev,Kazakhstan,2:30:26,150.43
71,Abdil Ceylan,Turkey,2:31:43,151.72
72,Jose Rios,Spain,2:32:35,152.58
73,Hem Bunting,Cambodia,2:33:32,153.53
74,Marcel Tschopp,Liechtenstein,2:35:06,155.1
75,Pavel Loskutov,Estonia,2:39:01,159.02
76,Atsushi Sato,Japan,2:41:08,161.13
